tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
312309	Vibrio fischeri ES114	3281051	0	live	VF_B0001	VF_B0001, VFB01	hypothetical protein				NC_006842.1	14	310	minus	0		
312309	Vibrio fischeri ES114	3281049	0	live	VF_B0002	VF_B0002, VFB02	DNA primase TraC				NC_006842.1	655	1638	minus	0		
312309	Vibrio fischeri ES114	3281054	0	live	VF_B0003	VF_B0003, VFB03	hypothetical protein				NC_006842.1	2274	2723	minus	0		
312309	Vibrio fischeri ES114	3281053	0	live	VF_B0004	VF_B0004, VFB04	hypothetical protein				NC_006842.1	2743	3072	minus	0		
312309	Vibrio fischeri ES114	3281023	0	live	VF_B0005	VF_B0005, VFB05	hypothetical protein				NC_006842.1	3075	3266	minus	0		
312309	Vibrio fischeri ES114	3281024	0	live	VF_B0006	VF_B0006, VFB06	hypothetical protein				NC_006842.1	3293	3694	minus	0		
312309	Vibrio fischeri ES114	3281072	0	live	VF_B0007	VF_B0007, VFB07	DNA repair protein RadC				NC_006842.1	3771	4268	minus	0		
312309	Vibrio fischeri ES114	3281070	0	live	VF_B0008	VF_B0008, VFB08	hypothetical protein				NC_006842.1	4574	4954	minus	0		
312309	Vibrio fischeri ES114	3281044	0	live	VF_B0009	VF_B0009, VFB09	hypothetical protein				NC_006842.1	5759	6046	minus	0		
312309	Vibrio fischeri ES114	3281042	0	live	VF_B0010	VF_B0010, VFB10	hypothetical protein				NC_006842.1	6085	6282	minus	0		
312309	Vibrio fischeri ES114	3281060	0	live	VF_B0011	VF_B0011, VFB11	hypothetical protein				NC_006842.1	6295	7347	minus	0		
312309	Vibrio fischeri ES114	3281059	0	live	VF_B0012	VF_B0012, VFB12	hypothetical protein				NC_006842.1	7518	7796	minus	0		
312309	Vibrio fischeri ES114	3281068	0	live	VF_B0013	VF_B0013, VFB13	hypothetical protein				NC_006842.1	7796	8371	minus	0		
