tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
312309	Vibrio fischeri ES114	3278919	0	live	aapM	VF_1534, VF1534	amino-acid transporter permease			I	NC_006840.2	1716125	1717222	plus	0		
312309	Vibrio fischeri ES114	3277647	0	live	aapP	VF_1535, VF1535	amino-acid transporter ATPase			I	NC_006840.2	1717250	1717999	plus	0		
312309	Vibrio fischeri ES114	3278940	0	live	aapQ	VF_1533, VF1533	amino-acid transporter permease			I	NC_006840.2	1714956	1716122	plus	0		
312309	Vibrio fischeri ES114	3279021	0	live	aat	VF_1762, VF1762	leucyl/phenylalanyl-tRNA--protein transferase			I	NC_006840.2	1988971	1989690	plus	0		
312309	Vibrio fischeri ES114	3278735	0	live	abgT	VF_1410, VF1410	aminobenzoyl-glutamate transporter			I	NC_006840.2	1560193	1561785	minus	0		
312309	Vibrio fischeri ES114	3279197	0	live	accA	VF_1946, VF1946	acetyl-CoA carboxylase carboxyltransferase subunit alpha			I	NC_006840.2	2173344	2174303	minus	0		
312309	Vibrio fischeri ES114	3279531	0	live	accB	VF_2386, VF2386	acetyl-CoA carboxylase biotin carboxyl carrier protein subunit			I	NC_006840.2	2675397	2675855	plus	0		
312309	Vibrio fischeri ES114	3279567	0	live	accC	VF_2387, VF2387	acetyl-CoA carboxylase biotin carboxylase subunit			I	NC_006840.2	2675867	2677210	plus	0		
312309	Vibrio fischeri ES114	3277672	0	live	accD	VF_1695, VF1695	acetyl-CoA carboxylase carboxyltransferase subunit beta			I	NC_006840.2	1907637	1908521	minus	0		
312309	Vibrio fischeri ES114	3279155	0	live	aceA	VF_1972, VF1972	isocitrate lyase			I	NC_006840.2	2203631	2204959	minus	0		
312309	Vibrio fischeri ES114	3279189	0	live	aceB	VF_1973, VF1973	malate synthase			I	NC_006840.2	2204974	2206578	minus	0		
